agent_id	event_time	trace_id/span_id	repair_kind	previous_activity	path_signature
741aecfc-b937-481e-990f-c65bd5aa0743	2026-07-06T23:52:47.09Z	ba3f6d0ed370fbacd5673bf07c00a6c4/0ebb11283498c6cb	probe_timeout_busy_preserved	working	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|prior=working|projection=working|legacy=working|agree=true
8c0a8d6b-1024-46e2-9652-a166d2069e71	2026-07-06T23:51:24.007Z	7597f4afdcd2600c625d183f2cde5f4d/83de95fbe2aff785	probe_timeout_busy_preserved	working	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|prior=working|projection=working|legacy=working|agree=true
8c0a8d6b-1024-46e2-9652-a166d2069e71	2026-07-06T23:52:54.009Z	e31bb99a5303ca8a4a2fb90f8f77edda/9ac9dcf0cfa8ad91	probe_timeout_busy_preserved	working	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|prior=working|projection=working|legacy=working|agree=true
aad64176-d17f-444f-acfa-6f03ecd9039e	2026-07-06T23:52:34.535Z	53f2c7403c27462d94c57bb58c17828b/0849bc5fad2c53c9	probe_timeout_busy_preserved	working	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|prior=working|projection=working|legacy=working|agree=true
b6df54bc-3d70-41d4-b717-2e0db46e75cf	2026-07-06T23:47:32.851Z	aedc63860da2b698282a7f23485e9d6f/9038b3154a0708cf	probe_timeout_busy_preserved	working	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|prior=working|projection=working|legacy=working|agree=true
b6df54bc-3d70-41d4-b717-2e0db46e75cf	2026-07-06T23:49:02.855Z	1918b85d1b135bf8da77dc1099e23dc4/9dbcec4426a18a38	probe_timeout_busy_preserved	working	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|prior=working|projection=working|legacy=working|agree=true
b6df54bc-3d70-41d4-b717-2e0db46e75cf	2026-07-06T23:50:32.879Z	8577cff69228cd045afda48027e883d1/958b606917272a45	probe_timeout_busy_preserved	working	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|prior=working|projection=working|legacy=working|agree=true
b6df54bc-3d70-41d4-b717-2e0db46e75cf	2026-07-06T23:52:02.876Z	0d05c959c98ed0380fa1085f9ae08afe/faa6131e9d392a67	probe_timeout_busy_preserved	working	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|prior=working|projection=working|legacy=working|agree=true
ca9d7eaa-41a9-4a48-bb2d-3cac7439ee09	2026-07-06T23:48:04.54Z	6a4bc54434a5e3a15f290c7b6f097023/79ec680ee4ee31fb	probe_timeout_busy_preserved	working	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|prior=working|projection=working|legacy=working|agree=true
ca9d7eaa-41a9-4a48-bb2d-3cac7439ee09	2026-07-06T23:49:52.163Z	459d1994302806bac00bfda5985c8d53/ea4c02121da9ff0b	probe_timeout_busy_preserved	working	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|prior=working|projection=working|legacy=working|agree=true
ca9d7eaa-41a9-4a48-bb2d-3cac7439ee09	2026-07-06T23:50:04.537Z	7943f77e39d3c451f202dfe5886ca9fb/b6d6ae97428852db	probe_timeout_busy_preserved	working	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|prior=working|projection=working|legacy=working|agree=true
ca9d7eaa-41a9-4a48-bb2d-3cac7439ee09	2026-07-06T23:51:22.165Z	963be51a9f5273808ebe86fa5e9aea2c/35304299e804d39f	probe_timeout_busy_preserved	working	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|prior=working|projection=working|legacy=working|agree=true
ca9d7eaa-41a9-4a48-bb2d-3cac7439ee09	2026-07-06T23:51:34.537Z	ba2648dc6aa4a124d06730cc9ca8d24f/581e75dcfe902aeb	probe_timeout_busy_preserved	working	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|prior=working|projection=working|legacy=working|agree=true
ca9d7eaa-41a9-4a48-bb2d-3cac7439ee09	2026-07-06T23:52:52.166Z	bc1e2dcff03e9644cccfbbee71a1f03f/104a98f8e9e0cb20	probe_timeout_busy_preserved	working	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|prior=working|projection=working|legacy=working|agree=true
e7e09a59-f034-4795-bde3-572dd195288a	2026-07-06T23:47:41.136Z	3c53f6fc470222f2c1c6e315e619b889/3e9ea6ebaf7b23da	probe_timeout_busy_preserved	working	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|prior=working|projection=working|legacy=working|agree=true
e7e09a59-f034-4795-bde3-572dd195288a	2026-07-06T23:48:24.003Z	c67987069480847c9adf6c7aad862e7a/ce1415a64107161b	probe_timeout_busy_preserved	working	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|prior=working|projection=working|legacy=working|agree=true
e7e09a59-f034-4795-bde3-572dd195288a	2026-07-06T23:49:54.004Z	6bf265aea5716e9ceb1ab7fd04585723/99969fbd30572163	probe_timeout_busy_preserved	working	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|prior=working|projection=working|legacy=working|agree=true
e7e09a59-f034-4795-bde3-572dd195288a	2026-07-06T23:50:11.139Z	f2eac44f423a76eb55ddb80ed9aa93e8/3dd6aebbce84e2c4	probe_timeout_busy_preserved	working	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|prior=working|projection=working|legacy=working|agree=true
e7e09a59-f034-4795-bde3-572dd195288a	2026-07-06T23:51:24.006Z	0b76b339c34f4eeaa98e03968ec228d3/5253bdaf25f5214a	probe_timeout_busy_preserved	working	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|prior=working|projection=working|legacy=working|agree=true
e7e09a59-f034-4795-bde3-572dd195288a	2026-07-06T23:51:41.141Z	49ba107bc1fa5e19256c8f4ff386f205/48a901429ddc2072	probe_timeout_busy_preserved	working	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|prior=working|projection=working|legacy=working|agree=true
e7e09a59-f034-4795-bde3-572dd195288a	2026-07-06T23:52:54.009Z	6f897a566f71c75e2b3aefaca6851964/2ecaf5bd3b9afd6b	probe_timeout_busy_preserved	working	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|prior=working|projection=working|legacy=working|agree=true
eb7bf52f-6635-4327-b9f6-ce59538982ed	2026-07-06T23:47:15.662Z	4b4e30962c0fa13c95402386e872a1ab/d4a8821cb4c2ba2c	probe_timeout_busy_preserved	working	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|prior=working|projection=working|legacy=working|agree=true
eb7bf52f-6635-4327-b9f6-ce59538982ed	2026-07-06T23:48:45.664Z	698e7347d6205582cad3331cda57a0a3/d6d8bf0fe88df90d	probe_timeout_busy_preserved	working	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|prior=working|projection=working|legacy=working|agree=true
eb7bf52f-6635-4327-b9f6-ce59538982ed	2026-07-06T23:50:15.665Z	7c6d8782d415769c0d036a91522d678a/7647d0c427dbd274	probe_timeout_busy_preserved	working	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|prior=working|projection=working|legacy=working|agree=true
eb7bf52f-6635-4327-b9f6-ce59538982ed	2026-07-06T23:52:15.665Z	db3e94f2c95fd5dcfc5bbd9cd727f33c/b9e93c873e0ac017	probe_timeout_busy_preserved	working	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|prior=working|projection=working|legacy=working|agree=true
fe9d7e77-ebb9-4f93-acd7-da9defb1415f	2026-07-06T23:52:33.082Z	fb819899e5f0543d8300a8d70223e584/c9e345f842bd7d8a	probe_timeout_busy_preserved	working	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|prior=working|projection=working|legacy=working|agree=true
